Num.,Nome completo,E-mail,Telefone,Área,Idioma de interesse,Leva,Modelo de aula,Resultado nivelamento,Data Nivelamento,Nivel Recente,Data que o Lingopass deu acesso,Data de Primeiro acesso,A0,A0 AoV,"Tempo de conclusão em dias 
Início Fim",A1,A1 AoV,"Tempo de conclusão em dias 
Início Fim.1",A2,A2 AoV,"Tempo de conclusão em dias 
Início Fim.2",B1,B1 AoV,"Tempo de conclusão em dias 
Início Fim.3",B2,B2 AoV,"Tempo de conclusão em dias 
Início Fim.4",C1,C1 AoV,"Tempo de conclusão em dias 
Início Fim.5",C2,C2 AoV,total progresso,"Tempo de conclusão em dias 
Início Fim.6",Progresso (nível do nivelamento),Progresso (qualquer nível),Média A0,Média A1,Média A2,Média B1,Média B2,Média C1,Média C2,Média total,Primeiro Acesso,Primeiro acesso curso que foi nivelado,Último Acesso,Tempo Total Plataforma,Tempo Total AoV,Tempo Total,tempo plataforma minutos,tempo AOV minutos,tempo total,% plataforma ,Turmas Fixas,Horário,Turno,Tutor,Nativo?,Quantidade Mensagens,Observação,Nome Gestor,Gestor,Empresa,Cancelou,Data de cancelamento,Data que deve perder acesso ,Justificativa,Sobre o curso: Quão satisfeito você ficou com seu curso em geral?,"Recomendação, comentário ou sugestão: Você recomendaria nosso curso? (1 sendo nunca e 10 com certeza)","Recomendação, comentário ou sugestão: Tem alguma sugestão ou comentário que queira nos enviar?"
295.0,Tammy Clark,jesusyates@example.org,,TEC,INGLÊS,2,TURMA FIXA,A2,13/12/2022,A2,01/12/2022,13/12/2022,"100,00%",12.05%,43.0,"67,00%",106.82%,,"4,00%",119.42%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,171%,,,,"100,00%","87,78%",-,-,-,-,-,"93,89%",13/12/2022,,25/04/2023,24h 19m,19h 06m,43h 26m,1.459,1.146,2.605,56%,EN | EMB2 | TEC | BAS10,Segundas e quartas às 09h,Manhã,Marcela,Brasileiro,1.0,Aluno nivelado no B1 migrou para turma do básico por estar com dificuldade,,ayalajohn@example.net,EMBRAER,,,,,10.0,10,
276.0,Jesus Howell,smithlisa@example.net,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B1,13/12/2022,B1,01/12/2022,13/12/2022,"70,00%",0.00%,,"68,00%",0.00%,,"1,00%",0.00%,,"25,00%",25.57%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,164%,,,,"100,00%","96,11%",-,"50,85%",-,-,-,"82,32%",13/12/2022,,19/04/2023,34h 39m,04h 05m,38h 44m,2.079,245.0,2.324,89%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,brennanveronica@example.org,EMBRAER,,,,,,,
219.0,Gregory Cook,smithbrett@example.com,,ADM,INGLÊS,2,TURMA FIXA,A2,13/12/2022,A2,01/12/2022,13/12/2022,"100,00%",118.78%,51.0,"62,00%",0.00%,,"0,00%",273.93%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,162%,,,,"100,00%","93,61%",-,-,-,-,-,"96,81%",13/12/2022,,26/04/2023,16h 02m,43h 49m,59h 52m,962.0,2.629,3.591,27%,EN | EMB2 | ADM | BAS14,Segundas e quartas às 09h,Manhã,Paola,Brasileiro,1.0,,,harrisjeremy@example.net,EMBRAER,,,,,10.0,10,Eu senti dificuldade para colocar o apóstrofe.Ex. I don´t correto é I don't e demorou pra eu descobrir.
168.0,Christina Cardenas,davisjohn@example.com,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B2,13/12/2022,B2,01/12/2022,13/12/2022,"100,00%",0.00%,61.0,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"54,00%",10.27%,,"0,00%",0.00%,,"0,00%",0.00%,154%,,,,"99,00%",-,-,-,"93,92%",-,-,"96,46%",13/12/2022,,21/04/2023,24h 42m,01h 38m,26h 21m,1.482,98.0,1.58,94%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,nathanreyes@example.org,EMBRAER,,,,,10.0,10,
282.0,Janet Cabrera,stephanie53@example.com,,ADM,INGLÊS,2,TURMA FIXA,A1,14/01/2023,A1,01/01/2023,14/01/2023,"100,00%",21.08%,28.0,"53,00%",89.77%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,153%,,,,"99,84%","100,00%",-,-,-,-,-,"99,92%",14/01/2023,,25/04/2023,34h 55m,18h 58m,53h 54m,2.095,1.138,3.233,65%,EN | EMB3 | ADM | BAS23,Terças e quintas às 8:30h,Manhã,Marcela,Brasileiro,8.0,,,wrightleonard@example.net,EMBRAER,,,,,9.0,9,
229.0,Matthew Lee,lisapayne@example.com,,ADM,INGLÊS,2,TURMA FIXA,A2,12/12/2022,A2,01/12/2022,12/12/2022,"100,00%",85.19%,76.0,"52,00%",0.00%,,"0,00%",188.72%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,152%,,,,"94,94%","88,75%",-,-,-,-,-,"91,85%",12/12/2022,,25/04/2023,09h 58m,30h 11m,40h 10m,598.0,1.811,2.409,25%,EN | EMB2 | ADM | BAS09,Segundas e quartas às 20h,Noite,Marcela,Brasileiro,1.0,,,maria73@example.net,EMBRAER,,,,,10.0,10,Tudo certo
128.0,Lisa Garcia,powellbrandon@example.org,,TEC,INGLÊS,1,TURMA FLEXÍVEL,A2,27/09/2022,A2,01/09/2022,27/09/2022,"100,00%",9.72%,194.0,"11,00%",0.00%,,"0,00%",9.72%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,111%,,"0,00%","100,00%","99,00%",-,-,-,-,-,-,"99,00%",27/09/2022,,24/04/2023,18h 59m,01h 33m,20h 33m,1.139,93.0,1.232,92%,Turma flexível,FLEX,FLEX,FLEX,FLEX,5.0,,,rachel96@example.com,EMBRAER,,,,,7.0,9,Não. 
173.0,Madison Marshall,thomasadams@example.com,,ADM,INGLÊS,2,TURMA FLEXÍVEL,A1,13/12/2022,A1,01/12/2022,13/12/2022,"100,00%",8.67%,62.0,"48,00%",11.52%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,148%,,,,"96,48%","81,67%",-,-,-,-,-,"89,07%",13/12/2022,,25/04/2023,21h 36m,03h 13m,24h 50m,1.296,193.0,1.489,87%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,jeffrey14@example.org,EMBRAER,,,,,9.0,10,
243.0,Gabriela Young,kneal@example.net,,TEC,INGLÊS,2,TURMA FIXA,A2,12/12/2022,B1,01/12/2022,12/12/2022,"100,00%",148.18%,129.0,"36,00%",0.00%,,"0,00%",0.00%,,"11,00%",148.18%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,147%,,,,"100,00%","91,67%",-,-,-,-,-,"95,83%",12/12/2022,,25/04/2023,21h 04m,23h 42m,44h 46m,1.264,1.422,2.686,47%,EN | EMB3 | TEC | BAS17,Segundas e quartas às 20h,Noite,Daniela,Brasileiro,1.0,Aluno nivelado no B1 migrou para turma do básico por estar com dificuldade,,rgrant@example.net,EMBRAER,,,,,10.0,10,
,Erin Carter,steven72@example.org,,TEC,INGLÊS,4,TURMA FIXA,A1,13/04/2023,A1,01/04/2023,13/04/2023,"1,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,"1,00%","1,00%",,,,,,,,,13/04/2023,,25/04/2023,00h 17m,00h 00m,00h 17m,17.0,0.0,17.0,100%,Turma 27 - TEC - BAS - segundas e quartas às 10h,Quarta-Feira e Sexta-Feira,Noite,Não definido,,,,,laurasmith@example.org,EMBRAER,,,,,,,
,Deanna Simmons,gregoryburke@example.net,,ADM,INGLÊS,4,TURMA FIXA,A1,13/04/2023,A1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,13/04/2023,,19/04/2023,00h 02m,00h 00m,00h 02m,2.0,0.0,2.0,100%,Turma 24 - ADM - BAS - segundas e quartas às 15h,Segunda e Quarta,Tarde,Não definido,,,,,johnsondorothy@example.com,EMBRAER,,,,,,,
224.0,Timothy Thomas,bryan16@example.net,,TEC,INGLÊS,2,TURMA FLEXÍVEL,B2,12/12/2022,B2,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"100,00%",117.32%,100.0,"45,00%",46.14%,,"0,00%",0.00%,,"0,00%",0.00%,145%,,,,-,-,-,"99,25%","100,00%",-,-,"99,63%",12/12/2022,,24/04/2023,57h 11m,26h 35m,83h 47m,3.431,1.595,5.026,68%,Turma flexível,FLEX,FLEX,FLEX,FLEX,14.0,,,qlong@example.org,EMBRAER,,,,,,,
73.0,Daniel Michael Jr.,alisongardner@example.org,,ADM,ESPANHOL,1,TURMA FLEXÍVEL,B1,08/11/2022,B1,01/09/2022,08/11/2022,"100,00%",6.60%,56.0,"6,00%",0.00%,,"0,00%",0.00%,,"0,00%",12.50%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,106%,,"0,00%","100,00%","97,67%",-,-,-,-,-,-,"97,67%",08/11/2022,,13/04/2023,08h 02m,02h 00m,10h 02m,482.0,120.0,602.0,80%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,esmith@example.net,EMBRAER,,,,,,,
,Justin West,warecameron@example.org,,ADM,INGLÊS,4,TURMA FIXA,A1,17/04/2023,A1,01/04/2023,17/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/04/2023,,,,,,,,,#DIV/0!,Turma 25 - ADM - BAS - terças e quintas às 19h,FLEX,,Manoel,,,,,hlee@example.org,,,,,,,,
