Unnamed: 0,Num.,Nome completo,Área,Idioma de interesse,Modelo de aula,Resultado nivelamento,Leva,Primeiro Acesso,Último Acesso,A0,A0 AoV,A1,A1 AoV,A2,A2 AoV,B1,B1 AoV,B2,B2 AoV,C1,C1 AoV,C2,C2 AoV,tempo plataforma minutos,tempo AOV minutos,tempo total,total progresso,E-mail
29,268.0,Janet Cabrera,ADM,INGLÊS,TURMA FIXA,A1,2,13/12/2022,24/04/2023,"100,00%",77.72%,"42,00%",68.96%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.02,1.408,2.428,142%,wrightleonard@example.net
30,329.0,Matthew Lee,ADM,FRANCÊS,TURMA FIXA,A1,2,12/12/2022,25/04/2023,"100,00%",90.49%,"41,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.869,1.187,3.056,141%,maria73@example.net
31,336.0,Lisa Garcia,TEC,INGLÊS,TURMA FIXA,A1,2,12/12/2022,24/04/2023,"100,00%",74.01%,"41,00%",96.67%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.254,1.638,2.892,141%,rachel96@example.com
32,239.0,Madison Marshall,TEC,INGLÊS,TURMA FIXA,B1,2,13/12/2022,24/04/2023,"100,00%",129.60%,"18,00%",0.00%,"0,00%",0.00%,"20,00%",175.85%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.441,1.688,3.129,138%,jeffrey14@example.org
33,216.0,Gabriela Young,ADM,INGLÊS,TURMA FIXA,A1,2,12/12/2022,25/04/2023,"100,00%",83.44%,"35,00%",100.12%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.183,1.762,2.945,135%,rgrant@example.net
34,334.0,Erin Carter,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,19/04/2023,"100,00%",38.68%,"35,00%",0.00%,"0,00%",157.84%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,418.0,1.515,1.933,135%,laurasmith@example.org
35,250.0,Deanna Simmons,ADM,INGLÊS,TURMA FLEXÍVEL,A2,2,23/12/2022,25/04/2023,"83,00%",0.00%,"0,00%",0.00%,"50,00%",80.03%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.538,800.0,2.338,133%,johnsondorothy@example.com
36,332.0,Timothy Thomas,ADM,INGLÊS,TURMA FLEXÍVEL,A2,2,13/12/2022,25/04/2023,"100,00%",29.08%,"31,00%",0.00%,"0,00%",108.01%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,646.0,1.065,1.711,131%,qlong@example.org
37,335.0,Daniel Michael Jr.,ADM,INGLÊS,TURMA FIXA,A2,2,13/12/2022,24/04/2023,"100,00%",62.32%,"30,00%",0.00%,"0,00%",146.84%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,661.0,1.409,2.07,130%,esmith@example.net
38,319.0,Justin West,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,19/04/2023,"100,00%",57.75%,"28,00%",0.00%,"0,00%",150.74%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,721.0,1.447,2.168,128%,hlee@example.org
39,253.0,Benjamin Johns,ADM,INGLÊS,TURMA FIXA,A1,2,13/12/2022,24/04/2023,"100,00%",52.39%,"27,00%",62.70%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,854.0,1.104,1.958,127%,vbenson@example.net
40,322.0,Sean Jackson,ADM,INGLÊS,TURMA FIXA,A2,2,17/12/2022,25/04/2023,"100,00%",82.72%,"27,00%",0.00%,"0,00%",146.32%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,735.0,1.462,2.197,127%,russell41@example.net
41,297.0,Norman Long DDS,TEC,INGLÊS,TURMA FLEXÍVEL,A2,2,13/12/2022,25/04/2023,"13,00%",0.00%,"100,00%",15.51%,"12,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.397,148.0,2.545,125%,victoriabrown@example.org
42,28.0,Steven Sullivan,TI,INGLÊS,TURMA FIXA,A2,1,26/09/2022,25/04/2023,"100,00%",127.21%,"24,00%",0.00%,"0,00%",174.52%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,586.0,1.716,2.302,124%,tylerfrancis@example.net
43,238.0,Brandon James,ADM,INGLÊS,TURMA FLEXÍVEL,A1,2,05/01/2023,25/04/2023,"6,00%",0.00%,"100,00%",133.26%,"16,00%",89.98%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.466,2.196,4.662,122%,hendersonderrick@example.net
44,275.0,Kevin Howard,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"54,00%",0.00%,"66,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.685,0.0,1.685,120%,amyroberts@example.org
45,384.0,Mr. Zachary Boone DDS,TEC,INGLÊS,TURMA FIXA,A2,3,09/02/2023,19/04/2023,"100,00%",22.49%,"19,00%",0.00%,"0,00%",73.08%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.086,701.0,1.787,119%,ztaylor@example.org
46,380.0,Christine Wagner DDS,TEC,INGLÊS,AULA PARTICULAR,A1,3,09/02/2023,25/04/2023,"100,00%",0.45%,"19,00%",40.11%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,933.0,448.0,1.381,119%,nicolegray@example.com
47,96.0,Nathaniel Ochoa,TI,INGLÊS,TURMA FIXA,A2,1,26/09/2022,05/04/2023,"100,00%",0.00%,"17,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,696.0,0.0,696.0,117%,mark92@example.org
48,171.0,Patrick Jackson,ADM,INGLÊS,TURMA FIXA,B1,2,13/12/2022,25/04/2023,"100,00%",63.92%,"16,00%",0.00%,"0,00%",0.00%,"0,00%",179.01%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,487.0,1.77,2.257,116%,colemanbrandon@example.org
49,274.0,Jody Thompson,ADM,INGLÊS,TURMA FIXA,A1,2,14/12/2022,25/04/2023,"98,00%",0.00%,"14,00%",83.39%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,730.0,1.067,1.797,112%,wjohnson@example.org
50,128.0,James Huang,TEC,INGLÊS,TURMA FLEXÍVEL,A2,1,27/09/2022,24/04/2023,"100,00%",9.72%,"11,00%",0.00%,"0,00%",9.72%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.139,93.0,1.232,111%,kevinturner@example.org
51,342.0,Travis Johnson,ADM,INGLÊS,TURMA FIXA,C1,2,10/01/2023,25/04/2023,"100,00%",117.78%,"11,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",117.78%,"0,00%",0.00%,318.0,1.169,1.487,111%,lbrown@example.com
52,383.0,Dustin Young,TEC,INGLÊS,TURMA FIXA,A2,3,13/02/2023,20/04/2023,"83,00%",0.00%,"0,00%",0.00%,"25,00%",23.62%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.096,226.0,1.322,108%,cranevanessa@example.org
53,41.0,Joshua Davis,TI,INGLÊS,TURMA FIXA,B1,1,26/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"100,00%",258.15%,"6,00%",11.77%,"0,00%",0.00%,"0,00%",0.00%,1.982,2.591,4.573,106%,diazblake@example.net
54,73.0,Leslie Sexton,ADM,ESPANHOL,TURMA FLEXÍVEL,B1,1,08/11/2022,13/04/2023,"100,00%",6.60%,"6,00%",0.00%,"0,00%",0.00%,"0,00%",12.50%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,482.0,120.0,602.0,106%,tiffanythompson@example.org
55,158.0,Matthew Robertson Jr.,ADM,INGLÊS,TURMA FIXA,B1,2,16/12/2022,24/04/2023,"39,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"64,00%",140.34%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.318,1.408,2.726,103%,shane41@example.org
56,314.0,Gary Haynes,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,24/04/2023,"0,00%",0.00%,"3,00%",0.00%,"100,00%",156.57%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.42,2.013,3.433,103%,ycurtis@example.com
57,233.0,Kathleen Wagner,ADM,INGLÊS,TURMA FLEXÍVEL,A2,2,12/12/2022,24/04/2023,"100,00%",0.00%,"2,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.037,0.0,1.037,102%,bergerchristopher@example.net
58,310.0,Tammy Cox,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"100,00%",130.48%,"2,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.066,1.565,2.631,102%,tonyarellano@example.net
59,197.0,Tammy Thomas,ADM,INGLÊS,TURMA FIXA,A2,2,09/01/2023,24/04/2023,"0,00%",0.00%,"1,00%",0.00%,"100,00%",109.93%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.149,1.218,3.367,101%,tlewis@example.org
60,26.0,Lisa Sullivan,TEC,INGLÊS,TURMA FIXA,B1,1,11/10/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"100,00%",156.54%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.475,2.032,3.507,100%,susanweaver@example.org
61,245.0,Gavin Allen,ADM,INGLÊS,TURMA FIXA,B1,2,12/12/2022,25/04/2023,"77,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"23,00%",192.40%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,576.0,1.971,2.547,100%,michellethomas@example.com
62,345.0,Franklin Lawson,ADM,INGLÊS,TURMA FIXA,B1,2,12/12/2022,24/04/2023,"44,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"55,00%",209.38%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.652,2.01,3.662,99%,rsullivan@example.org
63,3.0,David Greer,TI,INGLÊS,TURMA FIXA,B1,1,27/09/2022,17/04/2023,"9,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"88,00%",122.10%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.218,1.172,2.39,97%,diazjulian@example.net
64,109.0,Craig Cox II,ADM,INGLÊS,TURMA FLEXÍVEL,B1,1,26/09/2022,26/01/2023,"1,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"96,00%",31.78%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.442,305.0,1.747,97%,julie66@example.net
65,338.0,Mary Harris,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,26/04/2023,"3,00%",0.00%,"90,00%",0.00%,"3,00%",108.78%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.283,1.423,2.706,96%,balvarado@example.org
66,67.0,Andrew Richardson,ADM,INGLÊS,TURMA FIXA,B1,1,26/09/2022,24/04/2023,"3,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"91,00%",166.80%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.792,1.601,3.393,94%,martinrebecca@example.net
67,15.0,Randy Young,TI,INGLÊS,TURMA FIXA,A2,1,27/09/2022,25/04/2023,"42,00%",0.00%,"50,00%",0.00%,"0,00%",215.46%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,775.0,2.117,2.892,92%,reedcolin@example.net
68,44.0,Maxwell Keller,TI,INGLÊS,TURMA FIXA,B1,1,13/10/2022,18/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"86,00%",200.92%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.555,1.928,3.483,86%,davidkim@example.com
69,226.0,Paula Turner,TEC,INGLÊS,TURMA FIXA,B1,2,19/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"85,00%",170.74%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.545,1.696,3.241,85%,huntmelissa@example.net
70,255.0,Karen Martinez,TEC,INGLÊS,TURMA FIXA,A2,2,15/12/2022,25/04/2023,"63,00%",0.00%,"0,00%",0.00%,"20,00%",115.75%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,688.0,1.111,1.799,83%,carrwhitney@example.com
71,357.0,Ronnie Brown,ADM,INGLÊS,TURMA FLEXÍVEL,B1,3,14/02/2023,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"74,00%",20.61%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.657,197.0,1.854,74%,velasquezcrystal@example.net
72,237.0,Leslie Bullock,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,13/12/2022,25/04/2023,"27,00%",0.00%,"45,00%",0.00%,"0,00%",0.00%,"1,00%",136.67%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,676.0,1.343,2.019,73%,derekkeith@example.net
73,182.0,James Hill,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"72,00%",62.16%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.139,596.0,1.735,72%,wilsontimothy@example.org
74,40.0,Dylan Navarro,TEC,INGLÊS,TURMA FIXA,B2,1,30/09/2022,25/10/2022,"70,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"2,00%",19.02%,"0,00%",0.00%,"0,00%",0.00%,361.0,182.0,543.0,72%,lopezmichael@example.com
75,9.0,Laurie Davis,ADM,INGLÊS,TURMA FIXA,A1,1,26/09/2022,24/04/2023,"70,00%",0.00%,"0,00%",243.80%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,302.0,2.34,2.642,70%,rebeccathompson@example.com
76,278.0,Jason Wilkinson,ADM,INGLÊS,TURMA FIXA,A1,2,12/12/2022,25/04/2023,"40,00%",0.00%,"6,00%",0.00%,"20,00%",183.57%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.044,1.812,2.856,66%,portiz@example.org
77,139.0,Stacey Thompson,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,26/09/2022,19/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"65,00%",124.65%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,727.0,1.196,1.923,65%,robert90@example.org
78,134.0,Erin Lopez,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,27/09/2022,18/04/2023,"0,00%",0.00%,"0,00%",0.00%,"14,00%",0.00%,"50,00%",76.40%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.111,733.0,1.844,64%,kyle87@example.com
79,83.0,Matthew Benitez,ADM,INGLÊS,TURMA FIXA,A2,1,26/09/2022,25/04/2023,"13,00%",0.00%,"0,00%",0.00%,"50,00%",70.46%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,599.0,726.0,1.325,63%,billy13@example.org
80,272.0,Ronald Perkins,ADM,INGLÊS,TURMA FIXA,A1,2,03/01/2023,25/04/2023,"63,00%",0.00%,"0,00%",95.62%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,762.0,977.0,1.739,63%,cameronkennedy@example.net
81,102.0,James Gay,TEC,INGLÊS,TURMA FIXA,B1,1,26/09/2022,20/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"63,00%",217.73%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.431,2.09,3.521,63%,william65@example.com
82,308.0,Jillian Chavez,ADM,INGLÊS,TURMA FIXA,A1,2,11/01/2023,12/04/2023,"63,00%",0.00%,"0,00%",25.47%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,557.0,552.0,1.109,63%,garciakylie@example.com
83,249.0,Eduardo Lindsey,ADM,INGLÊS,TURMA FLEXÍVEL,B2,2,12/12/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"27,00%",0.00%,"35,00%",6.33%,"0,00%",0.00%,836.0,188.0,1.024,62%,whitemary@example.net
84,117.0,John Hood,ADM,INGLÊS,TURMA FLEXÍVEL,B1,1,27/09/2022,21/03/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"62,00%",20.76%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,450.0,199.0,649.0,62%,sarah19@example.com
85,105.0,Aimee Young,TI,INGLÊS,TURMA FIXA,B1,1,28/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"61,00%",248.74%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.098,2.444,3.542,61%,christinasmith@example.com
86,402.0,Michael Armstrong,ADM,INGLÊS,TURMA FIXA,A2,3,09/02/2023,25/04/2023,"27,00%",0.00%,"33,00%",0.00%,"0,00%",67.73%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,322.0,650.0,972.0,60%,christopher44@example.com
